timestamp,temperature,rate0,rate1,rate2,rate3,ratev,hv_level,veto_level,id_bit,pps_active,suspended,power_on,scenario,longitude,latitude
1665475573.796172,34,48,8,20,26,21,2827,2304,0,1,0,0,14,111.99598217896947,33.48959699269387
1665475594.910689,34,52,7,18,26,21,2827,2304,0,1,0,0,14,113.12293007969316,32.55642938855919
1665475616.0252063,34,45,6,18,25,21,2827,2304,0,1,0,0,14,114.22487520331796,31.611585455397925
1665475637.1397238,34,47,5,17,28,20,2827,2304,0,1,0,0,14,115.30264616000363,30.655789203126464
1665475658.254241,34,44,6,17,27,18,2827,2304,0,1,0,0,14,116.35778585399021,29.689300985033782
1665475679.3687582,35,47,5,17,27,20,2827,2304,0,1,0,0,14,117.39092043588485,28.713259261095104
1665475700.4832754,35,43,5,16,24,19,2827,2304,0,1,0,0,14,118.40349465582092,27.72817664337211
1665475721.5977926,35,51,6,17,24,19,2827,2304,0,1,0,0,14,119.39680291676704,26.73399650008066
1665475742.7123098,35,43,4,14,23,17,2827,2304,0,1,0,0,14,120.37175108964982,25.731823051608004
1665475763.8268273,35,42,5,15,24,16,2827,2304,0,1,0,0,14,121.3282127127497,24.72130643973366
1665475784.9413445,35,47,5,15,25,17,2827,2304,0,1,0,0,14,122.2684200623213,23.7041953898991
1665475806.0558617,35,43,5,14,25,16,2827,2304,0,1,0,0,14,123.19241238588458,22.67974041146451
1665475827.170379,35,45,5,14,26,16,2827,2304,0,1,0,0,14,124.10195016794756,21.64883343841248
1665475848.2848961,35,43,4,13,24,16,2827,2304,0,1,0,0,14,124.99693379179772,20.612299502270975
1665475869.3994136,35,43,4,13,26,15,2827,2304,0,1,0,0,14,125.87914224811136,19.56988630171262
1665475911.628448,35,42,4,15,23,17,2827,2304,0,1,0,0,14,127.60690199023024,17.46958225002192
1665475932.7429652,35,46,5,13,24,15,2827,2304,0,1,0,0,14,128.45457899916258,16.411920295424903
1665475953.8574824,35,50,5,13,23,18,2827,2304,0,1,0,0,14,129.2914021010144,15.350704896135499
1665475974.9719996,36,46,4,14,23,16,2827,2304,0,1,0,0,14,130.11988034515258,14.285318908058128
1665475996.086517,36,46,4,13,23,17,2827,2304,0,1,0,0,14,130.9388753957435,13.216509740928979
1665476017.2010343,36,44,5,13,23,16,2827,2304,0,1,0,0,14,131.7507610766974,12.143871348621168
