Version,Trigger_Name,Name,Time(MJD),Trigger_Time(MJD),Trigger_Type,Trigger_Timescale(ms),Detector_Mask,Long(Degrees),Lat(Degrees)
1 ,bn221111380 ,SFLARE22111138 ,  59894.3780416 ,  59894.3796505 ,SFLARE ,  64 ,00010100000000 , 94.0000 , 15.8333
1 ,bn221111298 ,SFLARE22111129 ,  59894.2967412 ,  59894.2982767 ,SFLARE ,  64 ,01010000000000 , 45.5833 ,-17.5833
1 ,bn221111246 ,SFLARE22111124 ,  59894.2446043 ,  59894.2461495 ,SFLARE ,  64 ,00001100000000 ,134.9000 , 12.7500
0 ,bn221110989 ,SGR221110989 ,  59893.9871651 ,  59893.9887266 ,SGR ,  16 ,11100000000000 ,265.1167 , 23.1333
1 ,bn221110718 ,SFLARE22111071 ,  59893.7168821 ,  59893.7184607 ,SFLARE ,  64 ,00001100000000 ,329.2500 , 12.8333
0 ,bn221110619 ,GRB221110619 ,  59893.6171583 ,  59893.6187228 ,GRB ,2048 ,11000000000000 ,182.1167 ,-11.2833
0 ,bn221110377 ,SGR221110377 ,  59893.3759028 ,  59893.3774682 ,SGR ,  16 ,00011000000000 , 38.7167 ,-12.3167
0 ,bn221110235 ,TGF221110235 ,  59893.2337604 ,  59893.2353265 ,TGF ,  16 ,00000000000011 , 33.4833 ,-25.3500
0 ,bn221109865 ,SGR221109865 ,  59892.8635742 ,  59892.8651734 ,SGR ,  64 ,00011000000000 ,306.3500 , 20.5167
0 ,bn221109793 ,SGR221109793 ,  59892.7910226 ,  59892.7925604 ,SGR ,  16 ,11000010011000 ,297.8667 ,  7.7667
0 ,bn221109740 ,SGR221109740 ,  59892.7388966 ,  59892.7404906 ,SGR ,  16 ,00011000000000 , 35.2167 , 25.3667
0 ,bn221109733 ,SGR221109733 ,  59892.7316905 ,  59892.7332078 ,SGR ,  16 ,00011000000000 ,354.7167 , 20.4667
0 ,bn221109712 ,SGR221109712 ,  59892.7102624 ,  59892.7118600 ,SGR ,  16 ,00011000000000 ,251.3000 ,-22.3000
0 ,bn221109671 ,SGR221109671 ,  59892.6693965 ,  59892.6709332 ,SGR ,  16 ,10100000000000 , 39.1167 , 24.4833
1 ,bn221109606 ,SGR221109606 ,  59892.6048388 ,  59892.6063671 ,SGR ,  16 ,00011000000000 , 71.3167 , 25.2000
1 ,bn221109533 ,SGR221109533 ,  59892.5312750 ,  59892.5328692 ,SGR ,  32 ,00100100000000 , 55.0167 , 16.4167
0 ,bn221108826 ,SGR221108826 ,  59891.8239760 ,  59891.8255775 ,SGR ,  64 ,00001000100000 , 61.3167 , 15.4667
0 ,bn221108472 ,GRB221108472 ,  59891.4703467 ,  59891.4719112 ,GRB ,2048 ,00100000001000 , 57.1667 ,  4.8000
2 ,bn221107058 ,GRB221107058 ,  59890.0560108 ,  59890.0575516 ,GRB ,2048 ,00011000000000 , 57.6500 ,-13.5333
1 ,bn221107003 ,SFLARE22110700 ,  59890.0018054 ,  59890.0033899 ,SFLARE ,  64 ,00010100000000 ,145.2500 ,-25.2167
2 ,bn221106272 ,LOCLPAR2211062 ,  59889.2715947 ,  59889.2718465 ,LOCLPAR , 256 ,01001100010000 , 19.2167 ,-22.9500
0 ,bn221105370 ,TGF221105370 ,  59888.3688556 ,  59888.3703958 ,TGF ,  16 ,11110100011000 ,113.1333 ,  2.5000
2 ,bn221104472 ,UNCERT22110447 ,  59887.4704886 ,  59887.4720413 ,UNCERT ,2048 ,00100100000000 ,224.7500 , 14.7333
3 ,bn221104291 ,LOCLPAR2211042 ,  59887.2891065 ,  59887.2906947 ,LOCLPAR ,4096 ,00001010010000 , 16.0167 ,-20.2833
1 ,bn221103285 ,GRB221103285 ,  59886.2833974 ,  59886.2849381 ,GRB ,4096 ,10010000000000 ,303.1667 , 14.0667
0 ,bn221101939 ,TGF221101939 ,  59884.9376162 ,  59884.9391829 ,TGF ,  16 ,10000010000000 ,291.3833 ,  0.6500
2 ,bn221029511 ,UNCERT22102951 ,  59881.5099132 ,  59881.5107321 ,UNCERT ,  16 ,00000000000011 ,122.5000 ,  5.4000
1 ,bn221029045 ,GRB221029045 ,  59881.0439350 ,  59881.0454550 ,GRB , 256 ,00000011100000 ,276.4667 , -2.7167
0 ,bn221028207 ,UNCERT22102820 ,  59880.2051924 ,  59880.2067762 ,UNCERT , 256 ,00100000010000 ,328.4000 , 25.3167
0 ,bn221027792 ,TGF221027792 ,  59879.7907150 ,  59879.7922613 ,TGF ,  16 ,00000000000011 , 18.6833 , -2.1167
1 ,bn221027173 ,GRB221027173 ,  59879.1717794 ,  59879.1733143 ,GRB , 512 ,00011000000000 ,105.3500 ,-15.1500
4 ,bn221025954 ,TGF221025954 ,  59877.9528163 ,  59877.9543591 ,TGF ,  16 ,11011111110000 , 21.9500 , 18.0000
1 ,bn221025040 ,GRB221025040 ,  59877.0389713 ,  59877.0404910 ,GRB ,  16 ,01111100010000 , 55.0333 , 25.2500
