status,time,description,ID_in_Graph
1,1657870784.989716,"('delay of ', 4.5)",SE0>script delay 4500,
1,1657870784.990173,read the current time ,1657870784.990173,
1,1657872900.0,"('delay until ', 1657872900.0)",SE0>script delayuntil 1657872900,
1,1657872900.002716,read the current time ,1657872900.002716,
1,1657872900.002716,36,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 08')"
1,1657872910.002716,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657872910.002716,37,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 08')"
1,1657872940.002716,"('delay of ', 30.0)",SE0>script delay 30000,
1,1657872940.002716,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008000000')"
1,1657872960.002716,"('delay of ', 20.0)",SE0>script delay 20000,
1,1657872960.002716,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A000000')"
1,1657872965.002716,"('delay of ', 5.0)",SE0>script delay 5000,
1,1657872965.002716,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007000000')"
1,1657875600.0,"('delay until ', 1657875600.0)",SE0>script delayuntil 1657875600,
1,1657875600.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657875600.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657875600.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657875600.009644,read the current time ,1657875600.009644,
1,1657875600.009644,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657875601.009644,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657875601.009644,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657875602.009644,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657875602.009644,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657875782.009644,"('delay of ', 180.0)",SE0>script delay 180000,
-1,1657875785.009644,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657875785.009644,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
-1,1657875788.009644,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
-1,1657875791.009644,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
